resample,delta_f1
"[(2867, 2807, 2927), (2147, 2087, 2207), (4501, 4441, 4561), (5597, 5537, 5657), (5784, 5724, 5844), (2867, 2807, 2927), (2867, 2807, 2927), (1860, 1800, 1920), (2147, 2087, 2207), (2550, 2490, 2610), (590, 530, 650), (590, 530, 650), (3884, 3824, 3944)]",-0.14799433695139216
"[(2867, 2807, 2927), (2550, 2490, 2610), (5597, 5537, 5657), (2147, 2087, 2207), (2147, 2087, 2207), (376, 316, 436), (5031, 4971, 5091), (3884, 3824, 3944), (590, 530, 650), (22, 0, 82), (590, 530, 650), (376, 316, 436), (1860, 1800, 1920)]",-0.13772187419668153
"[(590, 530, 650), (2147, 2087, 2207), (1860, 1800, 1920), (2867, 2807, 2927), (4501, 4441, 4561), (5031, 4971, 5091), (590, 530, 650), (5031, 4971, 5091), (5784, 5724, 5844), (2550, 2490, 2610), (376, 316, 436), (4724, 4664, 4784), (5784, 5724, 5844)]",-0.07844878828665719
"[(5031, 4971, 5091), (376, 316, 436), (5784, 5724, 5844), (376, 316, 436), (590, 530, 650), (5784, 5724, 5844), (2550, 2490, 2610), (2550, 2490, 2610), (376, 316, 436), (1860, 1800, 1920), (5597, 5537, 5657), (5031, 4971, 5091), (1860, 1800, 1920)]",-0.02874217571079138
"[(5031, 4971, 5091), (5784, 5724, 5844), (4501, 4441, 4561), (590, 530, 650), (22, 0, 82), (2867, 2807, 2927), (4724, 4664, 4784), (4724, 4664, 4784), (2550, 2490, 2610), (2867, 2807, 2927), (5784, 5724, 5844), (22, 0, 82), (3884, 3824, 3944)]",-0.05068528060269656
"[(1860, 1800, 1920), (22, 0, 82), (2550, 2490, 2610), (4501, 4441, 4561), (2550, 2490, 2610), (5031, 4971, 5091), (5031, 4971, 5091), (22, 0, 82), (590, 530, 650), (4724, 4664, 4784), (22, 0, 82), (2550, 2490, 2610), (590, 530, 650)]",0.019346405228758162
"[(5031, 4971, 5091), (3884, 3824, 3944), (5031, 4971, 5091), (2147, 2087, 2207), (5784, 5724, 5844), (376, 316, 436), (4501, 4441, 4561), (376, 316, 436), (5031, 4971, 5091), (1860, 1800, 1920), (590, 530, 650), (5597, 5537, 5657), (2550, 2490, 2610)]",-0.06843420327622182
"[(5597, 5537, 5657), (22, 0, 82), (4724, 4664, 4784), (4501, 4441, 4561), (2867, 2807, 2927), (4724, 4664, 4784), (4724, 4664, 4784), (5031, 4971, 5091), (4501, 4441, 4561), (2147, 2087, 2207), (22, 0, 82), (3884, 3824, 3944), (3884, 3824, 3944)]",-0.14687820801937074
"[(2147, 2087, 2207), (2867, 2807, 2927), (3884, 3824, 3944), (5784, 5724, 5844), (2147, 2087, 2207), (2867, 2807, 2927), (4501, 4441, 4561), (376, 316, 436), (5031, 4971, 5091), (3884, 3824, 3944), (590, 530, 650), (22, 0, 82), (5031, 4971, 5091)]",-0.09989328576320589
"[(2147, 2087, 2207), (1860, 1800, 1920), (4724, 4664, 4784), (5784, 5724, 5844), (2550, 2490, 2610), (22, 0, 82), (4501, 4441, 4561), (376, 316, 436), (2550, 2490, 2610), (4501, 4441, 4561), (2550, 2490, 2610), (5784, 5724, 5844), (4501, 4441, 4561)]",-0.03784889398365479
